artistName,albumName,albumCover,releaseDate,trackNumber
Justin-Beiber,Journals,https://i.scdn.co/image/ab67616d0000b27358ae8fddecbd2630005409c9,2014-05-13,16
Justin-Beiber,Journals,https://i.scdn.co/image/ab67616d0000b273aac2a4189ed89b369c539df6,2014-05-13,15
Justin-Beiber,Journals,https://i.scdn.co/image/ab67616d0000b27386b35d0bfa6bbceed7541a3d,2013-01-01,15
Justin-Beiber,Believe Acoustic,https://i.scdn.co/image/ab67616d0000b273892e9f9e3ad986310334a3d7,2013-01-01,11
Justin-Beiber,Believe Acoustic,https://i.scdn.co/image/ab67616d0000b27347a09610fbdadcba48b8fa9e,2013-01-01,11
Justin-Beiber,Believe (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39,2012-06-15,17
Justin-Beiber,Believe,https://i.scdn.co/image/ab67616d0000b273f1d02a6cec967f8b6b78f76e,2012-01-01,13
Justin-Beiber,Believe (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273c8b3234ca56b40e5be87e35d,2012-01-01,16
Justin-Beiber,Never Say Never - The Remixes,https://i.scdn.co/image/ab67616d0000b27309a72c3863c3f55d4a27445e,2011-01-01,7
Justin-Beiber,Never Say Never - The Remixes,https://i.scdn.co/image/ab67616d0000b27349130b16d4190db1d6822e59,2011-01-01,7
Justin-Beiber,Under The Mistletoe,https://i.scdn.co/image/ab67616d0000b273b35cf57acf426c4245f1703c,2011-01-01,11
Miranda-Lambert,Palomino,https://i.scdn.co/image/ab67616d0000b27326a42f39c97c3263fb0d07ad,2022-04-29,15
Miranda-Lambert,The Marfa Tapes,https://i.scdn.co/image/ab67616d0000b273dab04c8819290fd2c8b7e729,2021-05-07,15
Miranda-Lambert,Wildcard,https://i.scdn.co/image/ab67616d0000b273753e552f06e10a4987ea455b,2019-11-01,14
Miranda-Lambert,Interstate Gospel,https://i.scdn.co/image/ab67616d0000b273be6739b806a38a50af5ad04e,2018-11-02,14
Miranda-Lambert,The Weight of These Wings,https://i.scdn.co/image/ab67616d0000b27357853d228f4dcdbb08df7a9c,2016-11-18,24
Miranda-Lambert,Platinum,https://i.scdn.co/image/ab67616d0000b27377e9a2078bad0d1abb644135,2014-06-02,16
Miranda-Lambert,Annie Up,https://i.scdn.co/image/ab67616d0000b273b8978af12f949f78c50bb553,2013-05-07,12
Miranda-Lambert,Four The Record,https://i.scdn.co/image/ab67616d0000b27303edd2321a6b59894b34848e,2011-11-01,14
Miranda-Lambert,Hell On Heels,https://i.scdn.co/image/ab67616d0000b2733bce1459f96603e8972371e6,2011-08-23,10
Miranda-Lambert,Miranda Lambert - Revolution - 2011 Limited Edition Australian Tour Pack,https://i.scdn.co/image/ab67616d0000b273ac7dcc7bc36e71cc4b5ea3f8,2011-02-18,22
Miranda-Lambert,Revolution,https://i.scdn.co/image/ab67616d0000b273c771f702f64d760b1be4f2be,2009-09-24,15
Miranda-Lambert,Crazy Ex-Girlfriend,https://i.scdn.co/image/ab67616d0000b273abedf083d99c14a5f36a1348,2007-05-01,12
Miranda-Lambert,Kerosene,https://i.scdn.co/image/ab67616d0000b27328d0bb77e4e6a059e2d85d28,2005,12
Miranda-Lambert,Actin' Up,https://i.scdn.co/image/ab67616d0000b2733fe7ff4c1ad2935ba198679a,2022-04-07,1
Miranda-Lambert,Strange,https://i.scdn.co/image/ab67616d0000b27332965c4399fa75ea68933e17,2022-03-10,1
Miranda-Lambert,Y'all Means All (from Season 6 of Queer Eye),https://i.scdn.co/image/ab67616d0000b273c565fcfb58813c6203dda5eb,2021-12-31,1
Miranda-Lambert,If I Was a Cowboy,https://i.scdn.co/image/ab67616d0000b2737cd3984de0c6da4e63384610,2021-10-15,1
